preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
3430,2,2,1,1,0,61.0
6868,1,1,1,1,0,60.0
3900,1,1,1,1,1,47.0
3300,1,1,1,1,1,29.0
3160,1,1,0,1,0,40.0
15000,4,3,2,3,0,343.0
8170,2,2,1,1,1,110.0
14208,2,2,1,2,1,107.0
27000,4,6,4,9,0,830.0
2420,1,1,0,1,0,45.0
30000,4,7,4,4,0,295.0
1988,1,1,0,0,0,30.0
11800,3,3,1,1,0,184.0
4250,1,1,1,1,1,42.0
4210,1,1,1,1,1,56.0
2141,1,1,1,1,0,60.0
2251,1,1,0,0,1,46.0
2410,1,1,0,1,1,45.0
3400,1,1,1,1,1,38.0
2550,2,1,0,1,1,49.0
8735,3,4,1,2,0,127.0
3300,1,1,1,1,1,41.0
1688,2,1,0,1,0,50.0
4300,1,1,1,1,1,40.0
17000,4,7,4,4,0,640.0
15085,3,5,3,3,0,170.0
4800,1,1,1,1,0,40.0
3100,1,1,1,1,1,32.0
3900,2,1,1,1,0,69.0
5289,2,2,1,1,0,75.0
3828,1,1,0,0,1,33.0
41290,4,7,4,5,0,500.0
4990,1,2,1,1,0,69.0
10000,4,4,2,4,0,194.0
2700,1,1,1,1,1,49.0
2895,1,1,0,1,1,32.0
